Stakeholder;A1;A2;A3;A4;A5;B1;B2;B3;B4;B5;C1;C2;C3;C4;C5;D1;D2;D3;D4;D5;D6;E1;E2;E3;E4;E5;F1;F2;F3
Municipalities and Local Governments;0;10;15;6;0;0;15;23;15;0;10;25;20;0;0;15;25;0;0;0;25;0;0;2;1;0;10;10;5
Public Health Authorities;1;25;25;5;0;0;20;25;10;2;5;5;5;0;0;10;15;10;0;0;5;0;1;5;5;5;25;25;5
Forestry Services and Landowners;0;17;17;5;0;0;17;0;6;0;10;10;17;0;0;17;17;0;5;0;10;0;17;17;10;0;15;15;15
Environmental NGOs;0;0;8;25;10;0;14;8;5;10;0;5;16;10;0;5;0;5;0;0;3;13;0;0;0;5;20;15;27
General Public and Community Groups;1;10;10;20;5;5;20;15;5;3;10;25;20;25;3;5;3;1;1;1;2;13;15;7;1;10;5;15;15
