ID,Deal,IRpct,ParetoPct,H0,Hmed,Hlo,Hhi,L10,L1med,L1lo,L1hi,L20,L2med,L2lo,L2hi,Loss0,Lossmed,Losslo,Losshi,LossN,Runs
N0,"A3,B2,C3,D1,E1,F2",92.23,100.0,0,2.0,0.0,4.0,0.0,22.736959337570966,0.0,32.782639330524226,0.0,12.64679980379154,0.0,17.488930801120027,0.0,15.216229217659993,0.0,74.93476914239358,9223,0
R1,"A3,B2,C3,D1,E2,F1",34.56,100.0,2,3.0,1.0,4.0,34.0,41.95962186315904,30.791215270283562,58.91757762331782,20.445048300260872,22.004539694855087,17.924195050125668,28.90289300035528,,76.20110894526465,42.75809505378991,97.73312239174889,3456,5
R2,"A3,B2,C3,D1,E2,F2",4.7,100.0,1,3.0,1.0,4.0,33.0,44.56564432270227,30.60112786321518,62.506906690248634,21.517434791350013,23.992948535199226,18.966936789137797,31.816550892053225,,88.05001743781074,59.70255727176832,99.18198804656392,470,3
R3,"A3,B2,C3,D1,E2,F3",55.21,100.0,2,3.0,2.0,4.0,44.0,45.06787474631645,31.820696537690512,70.5597331995661,26.076809620810597,24.284139662987638,16.631796762597162,36.261335071508284,95.49897119341564,85.92943749117332,58.38089399737737,99.10615960227096,5521,3
R4,"A3,B3,C2,D2,E3,F1",0.0,100.0,5,4.0,3.0,5.0,95.0,100.69490947949936,69.076934871995,116.09092815568268,46.07602413403309,48.939265712414176,36.007515760889994,54.70262854680144,,,,,0,3
R5,"A2,B2,C2,D1,E2,F2",0.0,0.0,3,4.0,3.0,5.0,50.0,61.370927525229135,47.73244238639955,79.05545752097197,34.26368339802363,37.909172634208666,31.87444598465967,45.01441588164713,,,,,0,2
R6,"A3,B2,C3,D1,E3,F3",76.1,100.0,2,3.0,2.0,4.0,42.0,41.179412718651776,29.572214247798076,59.98568735490979,23.664319132398465,22.036100952802652,15.316454454728799,31.701411423892274,81.09567901234568,81.03953441728387,51.21017820499115,98.73443992886813,7610,2
R7,"A4,B2,C3,D1,E2,F3",0.0,100.0,3,3.0,2.0,4.0,86.0,79.98227903479689,66.58640395151467,110.55775383061888,46.281745861624536,42.905754777415304,35.185447976155665,58.1063153169301,,,,,0,2
